leetcode_num,diff_level,category_1,category_2,approach_name,problem_name,problem_solution
704,Easy,Array,,Binary Search,Binary Search,"Min be start index of array, max be end index. While min is less than or equal to max: (re)calculate middle by taking average of min and max. if middle value (not index) is target, return middle index. If middle value is less than target search right half + 1, else search left half - 1"
944,Easy,Matrix,,,Delete Columns,"Init variable to store number of coumns to be deleted. Then do a colum traversal on matrix: for colum in range of length of first string, for row in range of length of total number of strings starting at second row, if letter in row above is less than curr row increment delete_col variable. BREAK out of loop to prevent multiple counts of out of order in one colum "
412,Easy,Array,,,Fizz Buzz,"One indexed so make sure range is (1, n + 1). Make sure to mod 3 and 5 together "
2418,Easy,Hash Map,Sort,,Sort the People,"Use a hashmap to store the height and the index. Sort keys of the hashmap, iterate over the sorted keys to append the names in order of the sorted height."
495,Easy,Array,Intervals,,Teemo Attacks ,Create an array of intervals. Merge Intervas. Count duration
520,Easy,String,,,Detect Capitals ,"Three booleans or ifs: if equal to word.upper, if equal to word.lower, or if equal to word.capitalize. Or you can be more manual and check if first letter is capital, then a slice of the rest of the word is lower, ie [1:] "
409,Easy,Hash Map,,Frequency Counter,Longest Palindrome,"Make frequency counter. Iterate over it: if a frequency is even, add it to total length. Else, add the odd frequency numbers, but minus 1 to get more even numbers. After loop, add 1 to length for the presence of any odd frequencies, b/c they can be used as the middle letter."
572,Easy,Binary Tree,,,Sub Tree of another Tree,Combine Same Tree with another function that runs Same Tree on each node
1974,Easy,Array,,,Get Minimum Time to Type ,The trick is to calculate both directions and get the min. Make sure to use abs() 
3083,Easy,String,,,Existence of 2 char Substr in Reversed,"iterate through reversed string using a sliding window slice, comparing against input string. Return true if any size two window slice is there, else false "
2678,Easy,String,Array,,Count Seniors ,"iterate through details strings, checking if the proper portion of the array converted to int is greater than sixy and keepig a count."
88,Easy,Array,,,Merge Sorted Array,"Two pointers, one at where the numbers end in nums1:  m - 1 , other at the end of nums2: n - 1. A third pointer nums1end that starts from very end of nums1:  m + n -1.   while p1 >= 0 and p2 >= 0: if p2 > p1, copy p2 to nums1end, decrement p2...Else copy p1 to nums1end and decrement p1. Always decrement nums1end.    while p2 >= 0 copy p2 to nums1end and decrement p2 and decrement nums1end."
27,Easy,Array,,,Remove Element,"initi left pointer to 0. start for loop with right pointer at 0: if right is the value, skip it and loop to next element ( 'continue' loop), if it's different than value, copy right to left. return left. "
26,Easy,Array,,,Remove Duplicates Sorted Array,"Use two pointers k and i. k is for unique elements and i goes out ahead of k for the duplicates. i and k start at 1. while i less than length of array, if nums of i_dups is not equal to nums of one before nums of k_unique, duplicate run has ended so copy i over to k and increment k_unique, else keep incrementing i_dups. "
80,Medium,Array,,,Remove Duplicates Sorted Array 2,Similar to above except i and k start at 2. Also in the while loop: if nums[i] not equal to nums[k-2] copy i over to k. increment k.    keep incrementing i. 
169,Easy,Array,,Boyer-Moore,Majority Element,"Boyer-Moore voting algo:. initialize variable candidate to None, and count to zero. Iterate through elements, if the count is zero, assign curr element to candidate. Then if else: if the element is same as candidate, increment count, else decrement count. Return candidate"
